Oakland African American Chamber Political Action Committee	Oakland African American Chamber of Commerce	Oakland AA Chamber
Forest Products Industry National Labor Management Committee CA Chapter (co	FOREST PRODUCTS INDUSTRY NATIONAL LABOR MANAGEMENT COMMITTEE	Forest Products Industry NLMC
FORUM, the Federation of Retired Union Members of Santa Clara and San Benito Counties	Forum: The Federation of Retired Union Members	Federation of Retired Union Members
Fraternal Order of Police (N. California Probation Lodge 19)	Fraternal Order of Police, Northern California Probation Lodge 19	Fraternal Order of Police
Fraternal Order of Police - California State Lodge	California State Lodge of the Fraternal Order of Police	Fraternal Order of Police
Fraternal Order of Police, California	FRATERNAL ORDER OF POLICE	Fraternal Order of Police
Fraternal Order of Police, California Chapter	Fraternal Order of Police - California Chapter	Fraternal Order of Police
Fraternal Order of Police, California State Lodge (prior version)	California State Lodge of the Fraternal Order of Police	Fraternal Order of Police
Fraternal Order of Police- Northern California Probation- Lodge 19	Fraternal Order of Police, Northern California Probation Lodge 19	Fraternal Order of Police
Fraternal Order of Police- Southern California Probation- Lodge 702	Fraternal Order of Police, Southern California Probation, Lodge 702	Fraternal Order of Police
FRESNO CLOVIS UNIFIED 30,627	Fresno Unified School District	school district
Fresno County District Attorney Elizabeth Egan	Fresno County District Attorney's Office	district attorney
Fresno County District Attorney Lisa A. Smittcamp	Fresno County District Attorney's Office	district attorney
Fresno County District Attorney Richard Pierce	Fresno County District Attorney's Office	district attorney
Fresno County Sheriffs Department	Fresno County Sheriff's Office	sheriff
Fresno Deputy Sheriff's Association (FDSA)	Fresno Deputy Sheriff's Association	deputy sheriffs assn
Fresno Deputy Sheriffs' Association	Fresno Deputy Sheriff's Association	deputy sheriffs assn
FRESNO FRESNO UNIFIED 78,470	Fresno Unified School District	school district
Fresno, City and County Convention Visitors Bureau (committee analysis)	Fresno, City and County Convention Visitors Bureau	convention bureau
Friends Committee on Legislation of Caifornia	Friends Committee on Legislation of California	FCL
Friends Committee on Legislation of California (founded by Quakers)	Friends Committee on Legislation of California	FCL
Friends Committee on Legislation of California (NOTE: SEE COMMENT 9 FOR AMENDMENTS THE AUTHOR INTENDS TO SUBMIT IN COMMITTEE.)	Friends Committee on Legislation of California	FCL
Friends Committee on Legislation SB 126 (Polanco) (section 3 of the bill)	Friends Committee on Legislation of California	FCL
Future of the Beauty Industry Coalition (FBIC) writes	Future of The Beauty Industry Coalition	beauty
Gabriel Basin Water Quality Authority only. The following	Gabriel Basin Water Quality Authority	water
Gabriel Quinto, Mayor	El Cerrito	city
Galt Joint Union School District (K-8) Outreach Consultants	Galt Joint Union School District	school district
Garden Grove Fire Fighters	Garden Grove Firefighters	firefighters
Garden Grove of Chamber Commerce	Garden Grove Chamber of Commerce	chamber
Gay and Lesbian SB 75 (Murray) Center of Los Angeles	Gay and Lesbian Center of Los Angeles	Gay & Lesbian Center LA
Gelndale Adventist Medical Center	Glendale Adventist Medical Center	Glendale Adventist Medical Center
Genesis Floor Covering Support Letter for Sb 1422	Genesis Floor Covering	Genesis Floor Covering
George Gascón, District Attorney, San Francisco City and County	San Francisco District Attorney	SF DA
George Marquez, Imperial County District Attorney	Imperial County District Attorney	Imperial DA
George W. Kennedy, District Attorney of Santa Clara County	Santa Clara County District Attorney	Santa Clara DA
Glendale Fire Fighters' Association Local 776	Glendale Fire Fighters' Association	Glendale firefighters
Glendale Professional Firefighters Local 3842	Glendale Professional Firefighters	Glendale firefighters
Glendora Chamber Legislative Committee	Glendora Chamber of Commerce	Glendora Chamber
GNLD International, LLC (committee analysis)	GNLD International, LLC	GNLD International
Gold Country Fairgrounds and Event Center, 20th DAA	Gold Country Fairgrounds and Event Center, 20th District Agricultural Association	Gold Country Fairgrounds
Golden Gate University Law Women's Employment Right's Clinic	Golden Gate University School of Law, Women's Employment Rights	GGU WERC
Golden Gate University Law Women's Employment Rights Clinic	Golden Gate University School of Law, Women's Employment Rights	GGU WERC
Golden State Manufactured-Home Owners League, Inc., Chapter	GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE	GSMOL
GRACE Institute-End Child Poverty in CA	Grace Institute - End Child Poverty in California	GRACE End Child Poverty
GRACE-End Child Poverty in CA	Grace Institute - End Child Poverty in California	GRACE End Child Poverty
Grand National Rodeo at the Cow Palace	Grand National Rodeo	Grand National Rodeo
Greater Los Angeles Chamber of the Society of Hispanic Professional	Greater Los Angeles Chapter of the Society of Hispanic Professional	SHPE
Greg Smith, Assessor	Greg Smith, San Diego County Assessor/Cl	Greg Smith
Grossmont-Cuyamaca Community College District -: Supervisory/Confidential Group	Grossmont-Cuyamaca Community College District Board of Trustees	Grossmont-Cuyamaca
Group (CALPIRG)	California Public Interest Research Group	CALPIRG
GRP Business, Transportation and Housing Agency	State Business, Transportation and Housing Agency	Business Transportation Housing Agency
Hacienda La Puente Unified School District, Personnel Commission	Hacienda La Puente Unified School District	Hacienda La Puente USD
Hacienda LA Puente Unified School District, Personnel Commission	Hacienda La Puente Unified School District	Hacienda La Puente USD
Health Access California (Prior version)	Health Access	Health Access
Health Trust of Silicon Valley to increase the use of a specified disease management strategy	Health Trust of Silicon Valley	Health Trust of Silicon Valley
Hearing Healthcare Providers of California (5/20/98)	Hearing Healthcare Providers	Hearing Healthcare Providers
Hemet City Firefighters, Local 2342	Hemet City Firefighters	Hemet City Firefighters
Herb J. Wesson, Jr. Councilmember	Herb J. Wesson, Councilmember/President, Tenth District of the City of Los Angeles	Herb Wesson
Herb J. Wesson, Jr., Los Angeles City Council	Herb J. Wesson, Councilmember/President, Tenth District of the City of Los Angeles	Herb Wesson
Herbalife International (committee analysis)	Herbalife International	Herbalife
Hills for Everyone (committee analysis)	HILLS FOR EVERYONE	Hills for Everyone
Hispanas Organized for Political Equity writes	HISPANAS ORGANIZED FOR POLITICAL EQUALITY	Hispanas Organized for Political Equality (HOPE)
Home AB 651 (Berg) Care-Giver Services, A Division of ResCare, Inc	Home Care-Giver Services, A Division of ResCare, Inc	ResCare Care-Giver Services
Hon. Gordon Stefenhagen, Mayor of Norwalk	City of Norwalk	city of norwalk
Hon. John Chiang, California State Controller	California Controller's Office	california controller's office
Hotel Employees, SB 1505 (McClintock) Restaurant Employees International Union	Hotel Employees and Restaurant Employees International	HERE International
Housing Leadership Council of San Mateo County, South San Francisco	Housing Leadership Council of San Mateo County, South San	Housing Leadership Council San Mateo
Howard Jarvis Taxpayers Association (HJTA) writes "While HJTA is not	HOWARD JARVIS TAXPAYERS ASSOCIATION	Howard Jarvis Taxpayers Assn
Humane Society of the United States - Sponsor	HUMANE SOCIETY OF THE UNITED STATES	Humane Society US
Humboldt County Office of the District Attorney	County of Humboldt District Attorney	Humboldt District Attorney
Humboldt District Attorney	County of Humboldt District Attorney	Humboldt District Attorney
Huntington Beach Firefighters Association Local 3354	Huntington Beach Firefighters Association	Huntington Beach Firefighters Association
Huntington Beach Police Officerso Association	Huntington Beach Police Officers	Huntington Beach Police Officers Association
Department of Finance (as of previous version)	Department of Finance	department of finance
Desert AIDS Project D/b/a Dap Health	Desert Aids Project	desert aids project
District Attorney of Santa Barbara County Joyce E. Dudley	District Attorney of Santa Barbara County	district attorney santa barbara county
District Attorney, San Diego County	District Attorney of San Diego County	district attorney san diego county
District Attorney, Santa Barbara County	District Attorney of Santa Barbara County	district attorney santa barbara county
District Attorney, Santa Clara County	District Attorney of Santa Clara County	district attorney santa clara county
Employees Association, American Federation of State, County and Municipal Employees 101, Council 57	AFSCME Local 101	afscme local 101
Friends of The Earth - US	Friends of the Earth US	friends of the earth us
Glendale Professional Firefighters Local 776	Glendale Professional Firefighters	glendale professional firefighters local 776
IATSE Local 600 - International Cinematographers Guild	IATSE Local 600	iatse local 600
Indivisible California: Statestrong	INDIVISIBLE CA STATESTRONG	indivisible_ca_statestrong
Livermore-Pleasanton Firefighters Local 1974	Livermore-Pleasanton Firefighters	Livermore-Pleasanton Firefighters
Los Angeles County Deputy Sheriffs	LOS ANGELES COUNTY DEPUTY SHERIFFS ASSOCIATION	LOS ANGELES COUNTY DEPUTY SHERIFFS ASSOCIATION
Madera County Sheriff's Office	Madera County Sheriff's	Madera County Sheriff's
Mexican-american Legal Defense and Ed Fund [maldef	Mexican American Legal Defense and Educational Fund (MALDEF)	Mexican American Legal Defense and Educational Fund (MALDEF)
National Association for the Advancement of Colored People, California	National Association for the Advancement of Colored People (NAACP)	national association for the advancement of colored people naacp
National Association of Social Workers, California Chapter (prior version)	NATIONAL ASSOCIATION OF SOCIAL WORKERS	national association of social workers
National Association of Women Business Owners, California	NATIONAL ASSOCIATION OF WOMEN BUSINESS OWNERS	national association of women business owners
National Audubon Society California	National Audubon Society	national audubon society
National Audubon Society, California	National Audubon Society	national audubon society
National Cement Company of California, Inc	National Cement Company	national cement company
National Council of Jewish Women- California	National Council of Jewish Women	national council of jewish women
North San Diego County Transit Development Board	North San Diego County Transit District	north san diego county transit district
Northern California ADAPT	California ADAPT	california adapt
Northern California District Council-ILWU	ILWU Northern California District Council	ilwu northern california district council
Pasadena Firefighters Local 809	Pasadena Firefighters	pasadena firefighters
Physicians for a National Health Program -- California Chapter	Physicians for a National Health Program	physicians-national-health-program
Placer County Sheriff Coroner-Marshal	Placer County Sheriff	placer-county-sheriff
Planning and Conservation League (committee analysis)	Planning and Conservation League	planning-conservation-league
SEIU - California	SEIU California	SEIU California
SMART-Transportation Division, California State Legislative Board	SMART Transportation Division-CA State Safety and Legislative Board	SMART Transportation Division CA
I.L.W.U. Local 34, Ship Clerks' Association International Union	INTERNATIONAL LONGSHORE AND WAREHOUSE UNION (ILWU)	ILWU Local 34
Imperial County District Attorneys	District Attorneys	District Attorneys
Imperial Valley Expo (45th DAA)	California Mid-Winter Fair and Fiesta	Imperial Valley Expo
Imperial Valley Expo/California Mid-Winter Fair & Fiesta (45th DAA)	California Mid-Winter Fair and Fiesta	Imperial Valley Expo
Imperial Valley Expo/California Mid-Winter Fair and Fiesta (45th DAA)	California Mid-Winter Fair and Fiesta	Imperial Valley Expo
InBiz Latino-North County Hispanic Chamber	InBiz Latino/North County Hispanic	InBiz Latino
Independent Administrators Association (committee analysis)	INDEPENDENT ADMINISTRATORS ASSOCIATION	Independent Administrators Assn
Independent Automobile Dealers Association of SB 1462 - Johannessen California	Independent Automobile Dealers Association	Independent Auto Dealers
Independent Energy Producers (committee analysis)	INDEPENDENT ENERGY PRODUCERS	Independent Energy Producers
Independent Energy Produces (committee analysis)	INDEPENDENT ENERGY PRODUCERS	Independent Energy Producers
Indio Chamber of Commerce Brd. of Directors and Governmental Affairs & Public Policy Com	Indio Chamber of Commerce	Indio Chamber of Commerce
Indivisible CA 34 Womens	Feminists in Action (formerly Indivisible CA 34 Womens)	Indivisible
Indivisible Northridge - The Resistance	RESISTANCE NORTHRIDGE-INDIVISIBLE	Indivisible
Initiate Justice proudly co-sponsors and	INITIATE JUSTICE	Initiate Justice
Institute for Justice writes	INSTITUTE FOR JUSTICE	Institute for Justice
International Assn. of Firefighters - Local 55	Alameda County Firefighters IAFF Local 55	IAFF Local 55
International Brotherhood Of Electrical Workers, Local 1245	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS	IBEW
Irwindale Chief of Police	CITY OF IRWINDALE	Irwindale Police
Irwindale Police Chief	CITY OF IRWINDALE	Irwindale Police
J. Michael Mullens, Sonoma County District Attorney	District Attorneys	District Attorneys
J. Michael Mullins, District Attorney of Sonoma County	District Attorneys	District Attorneys
J. Michael Mullins, Sonoma County District Attorney	District Attorneys	District Attorneys
J.C. Penney Life Insurance Company (committee analysis)	JC Penney	JC Penney
James Brazelton, District Attorney, Stanislaus County	District Attorneys	District Attorneys
Japanese American Citizens League (Northern California-Western Nevada-Pacific District)	JAPANESE AMERICAN CITIZENS LEAGUE	JACL
Jerry R. Herman, District Attorney of Marin County	Marin County District Attorney	Marin County DA
Jerry Shadinger, Sheriff, Colusa County	Colusa County Sheriff's Office	Colusa County Sheriff
Jewish Community Relations Council (Sacramento)	Jewish Community Relations Council of Sacramento	JCRC Sacramento
Joint Chambers Commissions of El Dorado County	El Dorado Joint Chambers Commission	El Dorado Joint Chambers
Judy Chu, Ph D. California State Board of Equalization - Sponsor	California State Board of Equalization, Legislative and Research Division	Board of Equalization
Juvenile Court Judges of California (NOTE: THIS ANALYSIS REFLECTS AMENDMENTS THE AUTHOR INTENDS TO SUBMIT TO THE COMMITTEE.)	JUVENILE COURT JUDGES OF CALIFORNIA	Juvenile Court Judges
Juvenile Court Judges of California writes	JUVENILE COURT JUDGES OF CALIFORNIA	Juvenile Court Judges
Kaiser writes	KAISER PERMANENTE	Kaiser Permanente
Kellco Services, Inc	Dagmar Fund Kellco Services	business
Kern County Fair & Event Center, 15th DAA	Kern County Fair	Kern County Fair
Kern County Fair & Event Center, 15th District Agricultural Association	Kern County Fair	Kern County Fair
Kern County Firefighters	Fire Fighters-Kern County	Kern Firefighters
Kern, Inyo, and Mono Counties Central Labor Council	Kern, Inyo & Mono Counties Central Labor Council, AFL-CIO	Kern Inyo Mono CLC
KIDS NETWORK (committee analysis)	KIDS NETWORK	KIDS NETWORK
Kings County Fairgrounds, 24A District Agricultural Association	Kings County Fairgrounds, 24a DAA	Kings County Fairgrounds
KMAX television (Sacramento)	Viacom Television Station KMAX-TV, Sacramento, Stockton and Modesto	TV station
KMPH television (Merced)	FOX 26 KMPH	TV station
KNBC television (Burbank)	KNBC, Los Angeles	TV station
KNSD television (San Diego)	KNSD (NBC affiliate)	TV station
KNTV television (San Jose)	KNTV -The Bay Area's NBC11	TV station
KPIX television (San Francisco)	Viacom Television Station KPIX-TV, San Francisco	TV station
L. A. County Probation Officers Union	Local 685	LA County Probation Officers Union
L.A. County Deputy Probation Officers Union, AFSCME Local 685	Local 685	LA County Probation Officers Union
L.A. County Probation Officers Union, AFSCME, Local 685	Local 685	LA County Probation Officers Union
LA Citizens Against Lawsuit Abuse	California Citizens Against Lawsuit Abuse	Citizens Against Lawsuit Abuse
LA County Deputy Probation Officers Union, Local 685	Local 685	LA County Probation Officers Union
LA County Probation Department Union/AFSCME Local 685	Local 685	AFSCME Local 685
LA County Probation Dept Union, Local 685	Local 685	AFSCME Local 685
LA County Probation Officers Union/AFSCME Local 685	Local 685	AFSCME Local 685
LA County Probation Professional Managers Assoc. AFSCME Local 1967	Professional Managers Association	AFSCME Local 1967
LA Family Housing Director Jo-Anne Cohen writes	L. A. Family Housing Corporation	LA Family Housing
LA Probation Dept. Union, AFSCME Local 685	Local 685	AFSCME Local 685
LA Probation Union, AFSCME, Local 685	Local 685	AFSCME Local 685
LAANE, et al	LA Alliance for a New Economy (LAANE)	LAANE
Labor Council for Latin American Advancement, San Gabriel Chapter	Labor Council for Latin American Advancement, San Gabriel	LCLAA
Laborers Local 652	CALIFORNIA STATE COUNCIL OF LABORERS	LIUNA Local
Laborers' International Union of North America, Local 324 -: AFL-CIO	CALIFORNIA STATE COUNCIL OF LABORERS	LIUNA Local
Laborers' International Union of North America, Local 89	CALIFORNIA STATE COUNCIL OF LABORERS	LIUNA Local
Laborers' International Union, Local 300	Laborers' International Union of North America, Local No. 300	LIUNA Local
Labrea Station	LaBrea Station	LaBrea
Lake Tahoe South Shore Chamber	Lake Tahoe South Shore Chamber of Commerce	Lake Tahoe South Shore Chamber of Commerce
Latino Business Chamber of Greater Los Angels	LATINO BUSINESS CHAMBER OF GREATER LOS ANGELES	Latino Business Chamber GLA
Lawyers Committee for Civil Rights of the San Francisco Bay Area (LCCR-SF)	Lawyers' Committee for Civil Rights of the San Francisco Bay Area	Lawyers Committee for Civil Rights SF
Lawyers Committee for Civil Rights, Bay Area	Lawyers' Committee for Civil Rights of the San Francisco Bay Area	Lawyers Committee for Civil Rights SF
Lawyers Committee for Civil Rights, San Francisco Bay Area	Lawyers' Committee for Civil Rights of the San Francisco Bay Area	Lawyers Committee for Civil Rights SF
Lawyers Committee of Civil Rights of the SF Bay Area	Lawyers' Committee for Civil Rights of the San Francisco Bay Area	Lawyers Committee for Civil Rights SF
Lawyers' Committee for Civil Rights of S.F. Bay Area	Lawyers' Committee for Civil Rights of the San Francisco Bay Area	LCCR-SF
Lawyers' Committee for Civil Rights, San Francisco Bay	Lawyers' Committee for Civil Rights of the San Francisco Bay Area	LCCR-SF
LeadingAge California (LC)	LeadingAge California	LeadingAge CA
League for Coastal Protection (committee analysis)	League for Coastal Protection	League for Coastal Protection
League of California AB 2725 (Laird) Cities	League of California Cities	League of CA Cities
League of California Cities (Inland Empire Division)	League of California Cities Inland Empire	LCC-division
League of California Cities (Los Angeles County Division)	LEAGUE OF CALIFORNIA CITIES LOS ANGELES DIVISION	LCC-division
League of California Cities (Orange County Division)	League of California Cities Orange County Division	LCC-division
League of California Cities - Desert Mountain Division	League of California Cities Desert Mountain Division	LCC-division
League of California Cities - Los Angeles Division	LEAGUE OF CALIFORNIA CITIES LOS ANGELES DIVISION	LCC-division
League of California Cities - Redwood Empire Division	League of California Cities Redwood Empire Division	LCC-division
League of California Cities Los Angeles County	LEAGUE OF CALIFORNIA CITIES LOS ANGELES DIVISION	LCC-division
League of California Cities Riverside County Division	League of California Cities, Riverside County Division	LCC-division
League of California Cities writes in an	LEAGUE OF CALIFORNIA CITIES	LCC
League of California Cities-African American Caucus	African American Caucus of the League of California Cities	LCC African American Caucus
League of Women Voters of Calfiornia	League of Women Voters of California	League of Women Voters of California
League of Women Voters of California (to AB 1587, an identical bill pending in the Senate)	League of Women Voters of California	League of Women Voters of California
Lemon Grove Mayor Mary Teresa Sessom	City of Lemon Grove	City of Lemon Grove
Les Schwab Tire Center writes	Les Schwab Tire Centers	Les Schwab
The Judicial Council of California	JUDICIAL COUNCIL OF CALIFORNIA	Judicial Council of California
US Green Building Council, California Chapter	U.S. Green Building Council, California (USGBC)	usgbc california
AARP writes in strong	AARP	aarp
ACHD) in a	The Association of California Healthcare Districts (ACHD)	achd
ACLU - California Action	ACLU California Action	aclu california action
ACLU Action California	ACLU California Action	aclu california action
ACLU of California, Center for Advocacy and Policy	ACLU of California	aclu of california
ACLU-California	ACLU of California	aclu of california
Affordable Housing Los Gatos Unitarian	Affordable Housing Committee - Los Gatos Unitarian Fellowship	affordable-housing-los-gatos-unitarian
AFSCME Local 206 Union of American Physicians and Dentists	AFSCME Local 206, Union of American Physicians & Dentists	afscme-local-206
AFSCME Local 3299 University of California	AFSCME Local 3299 (UC)	afscme-local-3299
AFSCME Local 4911 United EMS Workers	AFSCME Local 4911	afscme-local-4911
AFSCME, AFL-CIO California	AFSCME California	afscme-afl-cio-california
AFSCME/UNAC-UHCP United Nurses Associations of California- Union of Health Care Professionals	AFSCME/UNAC-UHCP United Nurses Associations of California-Union of Health Care Professionals	afscme-unac-uhcp-united-nurses-associations-of-california-union-of-health-care-professionals
Alameda Chamber and Economic Alliance	Alameda Chamber & Economic Alliance	alameda-chamber-and-economic-alliance
American Academy of Pediatrics - California Chapter	American Academy of Pediatrics-California District	aap_california
American Academy of Pediatrics, California (prior version)	American Academy of Pediatrics-California District	aap_california
American Association of Retired Persons (AARP) - California	AARP (American Association of Retired Persons)	aarp
American Association of Retired Persons - California	AARP (American Association of Retired Persons)	aarp
American Association of University Women (California)	AMERICAN ASSOCIATION OF UNIVERSITY WOMEN	aauw
American Association of University Women- California	AMERICAN ASSOCIATION OF UNIVERSITY WOMEN	aauw
American Clean Power, California	American Clean Power Association	american_clean_power
LIUNA Locals 777 and	LIUNA LOCALS 777 & 792	LIUNA Locals 777 & 792
Loan Mart	LOANMART	LoanMart
Local 1319 United Firefighters of Los Angeles City	UNITED FIREFIGHTERS OF LOS ANGELES CITY	UFLAC
Local 21 Service Employees International Union	Service Employees International Union (SEIU)	SEIU
Local 521 Service Employees International Union	Service Employees International Union (SEIU)	SEIU
Local 660 (SEIU - AFL-CIO)	Service Employees International Union (SEIU)	SEIU
Local 715, SEIU, AFL-CIO	Service Employees International Union (SEIU)	SEIU
Long Beach Area Chamber	Long Beach Area Chamber of Commerce	Long Beach Chamber
Long Beach Fire Fighters, Local 371	City of Long Beach Fire Department	Long Beach Firefighters
Long Each Fire Fighters, Local 372	City of Long Beach Fire Department	Long Beach Firefighters
Long Term Care Workers, Southern California, SEIU, Local 434B	SEIU	SEIU
Los Angeles Area Chamber of Commerce Education and Workforce Development	Los Angeles Area Chamber of Commerce	LA Area Chamber of Commerce
Los Angeles Area Citizens Against Lawsuit Abuse	California Citizens Against Lawsuit Abuse	Citizens Against Lawsuit Abuse
Los Angeles Coastal Chamber of Commmerce	LAX Coastal Chamber of Commerce	LAX Coastal Chamber
Los Angeles College Facility Guild, Local 1521	LOS ANGELES COLLEGE FACULTY GUILD	LA College Faculty Guild
Los Angeles College Faculty Guild, AFT Local 152	LOS ANGELES COLLEGE FACULTY GUILD	LA College Faculty Guild
Los Angeles College Faculty Guild, Local	LOS ANGELES COLLEGE FACULTY GUILD	LA College Faculty Guild
Los Angeles College Guild	LOS ANGELES COLLEGE FACULTY GUILD	LA College Faculty Guild
Los Angeles Commission on SB 65 (Johannessen) Assault Against Women	LOS ANGELES COMMISSION ON ASSAULTS AGAINST WOMEN	LA Commission Assaults Women
Los Angeles County Municipal Court Judgeso Association (NOTE: THIS ANALYSIS REFLECTS AUTHORoS AMENDMENTS TO BE OFFERED IN COMMITTEE.)	Angeles County Municipal Court Judges Association	Municipal Court Judges Assn
Los Angeles Deputy Sheriff Association	Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)	ALADS
Los Angeles Deputy Sheriffs' Association	Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)	ALADS
Los Angeles District Attorney's AB 1105 (Jackson) Office	Los Angeles County District Attorney	LA District Attorney
Los Angeles District Attorneyos Office (in principle)	Los Angeles County District Attorney	LA District Attorney
Los Angeles District Attorneyos Office, County of	Los Angeles County District Attorney	LA District Attorney
Los Angeles District Attorneys General's Office	Los Angeles County District Attorney	LA District Attorney
Los Angeles Latino Chamber	Los Angeles Latino Chamber of Commerce	LA Latino Chamber
Los Angeles Metro Hispanic Chambers of Commerce	Los Angeles Metropolitan Hispanic Chambers of Commerce	LA Metro Hispanic Chambers
Los Angels county District Attorney's Office	Los Angeles County District Attorney	LA County DA
Los Angles College Faculty Guild	LOS ANGELES COLLEGE FACULTY GUILD	LA College Faculty Guild
Los Research Association of California	Peace Officers Research Association	PORAC
Lutheran Office of Public Policy - CA	Lutheran Office of Public Policy - California	Lutheran Office Public Policy
Lutheran Office of Public Policy--California	Lutheran Office of Public Policy - California	Lutheran Office Public Policy
Lutheran Office of Public Policy-CA	Lutheran Office of Public Policy - California	Lutheran Office Public Policy
Make-Up Artists & Hair Stylists Guild, IATSE Local 706	I.A.T.S.E., Make-Up Artists and Hair Stylists	IATSE 706
Malia M. Cohen, California State Controller	Office of the California State Controller	State Controller
MANHATTAN BEACH UNIFIED 5,291	Manhattan Beach Unified School District	school district
Manhattan Beach, City Of	CITY OF MANHATTAN BEACH	city
Manufacturers' Council of the Central Valley to address a concern within the San Joaquin Valley Unified Air Quality Management District	Manufacturers Council of the Central Valley	manufacturers council
MARCH ON	March On	March On
Marin Builders' AB 446 (Negrete McLeod) Exchange	Marin Builders Exchanges	Marin Builders
Marin Builders' Exchange SB 667 (Migden) continued	Marin Builders Exchanges	Marin Builders
Marin County Council of Mayors and	Legislative Committee of the Marin County Council of Mayors and Councilmembers	Marin County Council of Mayors
Marin County Deputy Sheriffs Association	Marin County Deputy Sheriff's Association	Marin County Deputy Sheriffs
Marin County Public Defenders Office ? ? SB 213 (Polanco)	Marin County Public Defender's Office	Marin County Public Defender
Mariposa County Unified School District (Note: Mariposa County would not qualify under the current version of the bill.)	Mariposa County Unified	Mariposa County USD
Mark Lee, Esq., Manatt, Phelps and Phillips, LLP	Manatt, Phelps & Phillips	Manatt
Mark Lee, Manatt, Phelps & Phillips	Manatt, Phelps & Phillips	Manatt
Mayor Alma Beltran	City of Parlier	city
Mayor and City Council of the Town of Colma	TOWN OF COLMA	city
Mayor Andre Quintero	CITY OF EL MONTE	city
Mayor Anja Reinke	CITY OF BURBANK	city
Mayor Ann J. Kulchin	CITY OF CARLSBAD	city
Mayor Ann Johnston	CITY OF STOCKTON	city
Mayor Ann Schwab	CITY OF CHICO	city
Mayor Anthony B. Santos	CITY OF SAN LEANDRO	city
Mayor Antonio R. Villarigosa	CITY OF LOS ANGELES	city
Mayor Ariston Julian	City of Guadalupe	city
Mayor Ashley Swearengin	CITY OF FRESNO	city
Mayor Ashley Swearengin (City of Fresno)	CITY OF FRESNO	city
Mayor Bill Bogaard	CITY OF PASADENA	city
Mayor Blanca M. Figueroa	CITY OF SOUTH EL MONTE	city
Mayor Bob Filner	CITY OF SAN DIEGO	city
Mayor Bob Simmons	CITY OF WALNUT CREEK	city
Mayor Bobbie Singh-Allen	CITY OF ELK GROVE	city
Mayor Carl Hilliard	CITY OF DEL MAR	city
Mayor Carol L. Klatt	CITY OF DALY CITY	city
Mayor Carolyn V. Cavecche	CITY OF ORANGE	city
Mayor Casillas Salas	CITY OF CHULA VISTA	city
Mayor Cecilia Valdez	City of San Pablo	city
Mayor Cheryl Cox	CITY OF CHULA VISTA	city
Mayor Chi Charlie Nguyen	City of Westminster	city
Mayor Christopher L. Cabaldon	City of West Sacramento	city
Mayor Chuck Reed	City of San Jose	city
Mayor Claude A. "Bud" Lewis	CITY OF CARLSBAD	city
Mayor Dan Bilbrey	CITY OF TRACY	city
Mayor Daniel Helix	CITY OF CONCORD	city
Mayor Daniel Lurie	CITY AND COUNTY OF SAN FRANCISCO	city
Mayor Daniel T. Parra	City of Fowler	city
Mayor David Potter	City of Carmel-by-the-sea	city
Mayor Debora Fudge	City of Windsor	city
Mayor Dennis Donohue	CITY OF SALINAS	city
Mayor Devin T. Murphy	CITY OF PINOLE	city
Mayor Dianne Martinez	CITY OF EMERYVILLE	city
Mayor Dick Riddell	CITY OF YUCAIPA	city
Mayor Dr. Jayna Karpinski-Costa	CITY OF CITRUS HEIGHTS	city
Mayor Edwin M. Lee	CITY AND COUNTY OF SAN FRANCISCO	city
Mayor Edwin M. Lee, City and County of San Francisco (prior version)	CITY AND COUNTY OF SAN FRANCISCO	city
Mayor Emily Reilly	CITY OF SANTA CRUZ	city
Mayor Eshlema	CITY OF FONTANA	city
Mayor Flory	CITY OF FULLERTON	city
Mayor G. Dana Hobart	CITY OF RANCHO MIRAGE	city
Mayor Gary Davis	CITY OF ELK GROVE	city
Mayor Gary Monahan	CITY OF COSTA MESA	city
Mayor Gary O. Phillips	CITY OF SAN RAFAEL	city
Mayor Grace Vargas	City of Rialto	city
Mayor H. Manuel Ortiz	CITY OF IRWINDALE	city
Mayor Hank Stratford	CITY OF CLAYTON	city
Mayor Harmony Groves	CITY OF ARCATA	city
Mayor Harry S. Sidhu	CITY OF ANAHEIM	city
Mayor Ian N. Oglesby	CITY OF SEASIDE	city
Mayor Mary Teresa Sessom	City of Lemon Grove	city of lemon grove
Mayor of Norwalk	City of Norwalk	city of norwalk
Mayor of San Diego, Jerry Sanders	CITY OF SAN DIEGO	city govt
Mayor of San Jacinto	San Jacinto City	city govt
Mayor of Sand City	City of Sand	city govt
Mayor of the City of Ceres	CITY OF CERES	city govt
Mayor Oscar Rios	CITY OF WATSONVILLE	city govt
Mayor Pat Gilbreath	CITY OF REDLANDS	city govt
Mayor Patricia Lock Dawson	CITY OF RIVERSIDE	city govt
Mayor Paul M. Eaton	CITY OF MONTCLAIR	city govt
Mayor Paul S. Leon	CITY OF ONTARIO	city govt
Mayor Pauline Cutter	CITY OF SAN LEANDRO	city govt
Mayor Ric Loya	CITY OF HUNTINGTON PARK	city govt
Mayor Richard S. Kelly	CITY OF PALM DESERT	city govt
Mayor Rick Ramirez	City of Norwalk	city govt
Mayor Robert C. Harbicht	CITY OF ARCADIA	city govt
